uni948A	U+948A	钊
uni948B	U+948B	钋
uni948C	U+948C	钌
uni948D	U+948D	钍
uni948E	U+948E	钎
uni948F	U+948F	钏
uni9490	U+9490	钐
uni9491	U+9491	钑
uni9492	U+9492	钒
uni9493	U+9493	钓
uni9494	U+9494	钔
uni9495	U+9495	钕
uni9496	U+9496	钖
uni9497	U+9497	钗
uni9498	U+9498	钘
uni9499	U+9499	钙
uni949A	U+949A	钚
uni949B	U+949B	钛
uni949C	U+949C	钜
uni949D	U+949D	钝
uni949E	U+949E	钞
uni949F	U+949F	钟
uni94A0	U+94A0	钠
uni94A1	U+94A1	钡
uni94A2	U+94A2	钢
uni94A3	U+94A3	钣
uni94A4	U+94A4	钤
uni94A5	U+94A5	钥
uni94A6	U+94A6	钦
uni94A7	U+94A7	钧
uni94A8	U+94A8	钨
uni94A9	U+94A9	钩
uni94AA	U+94AA	钪
uni94AB	U+94AB	钫
uni94AC	U+94AC	钬
uni94AD	U+94AD	钭
uni94AE	U+94AE	钮
uni94AF	U+94AF	钯
uni94B0	U+94B0	钰
uni94B1	U+94B1	钱
uni94B2	U+94B2	钲
uni94B3	U+94B3	钳
uni94B4	U+94B4	钴
uni94B5	U+94B5	钵
uni94B6	U+94B6	钶
uni94B7	U+94B7	钷
uni94B8	U+94B8	钸
uni94B9	U+94B9	钹
uni94BA	U+94BA	钺
uni94BB	U+94BB	钻
uni94BC	U+94BC	钼
uni94BD	U+94BD	钽
uni94BE	U+94BE	钾
uni94BF	U+94BF	钿
uni94C0	U+94C0	铀
uni94C1	U+94C1	铁
uni94C2	U+94C2	铂
uni94C3	U+94C3	铃
uni94C4	U+94C4	铄
uni94C5	U+94C5	铅
uni94C6	U+94C6	铆
uni94C7	U+94C7	铇
uni94C8	U+94C8	铈
uni94C9	U+94C9	铉
uni94CA	U+94CA	铊
uni94CB	U+94CB	铋
uni94CC	U+94CC	铌
uni94CD	U+94CD	铍
uni94CE	U+94CE	铎
uni94CF	U+94CF	铏
uni94D0	U+94D0	铐
uni94D1	U+94D1	铑
uni94D2	U+94D2	铒
uni94D3	U+94D3	铓
uni94D4	U+94D4	铔
uni94D5	U+94D5	铕
uni94D6	U+94D6	铖
uni94D7	U+94D7	铗
uni94D8	U+94D8	铘
uni94D9	U+94D9	铙
uni94DA	U+94DA	铚
uni94DB	U+94DB	铛
uni94DC	U+94DC	铜
uni94DD	U+94DD	铝
uni94DE	U+94DE	铞
uni94DF	U+94DF	铟
uni94E0	U+94E0	铠
uni94E1	U+94E1	铡
uni94E2	U+94E2	铢
uni94E3	U+94E3	铣
uni94E4	U+94E4	铤
uni94E5	U+94E5	铥
uni94E6	U+94E6	铦
uni94E7	U+94E7	铧
uni94E8	U+94E8	铨
uni94E9	U+94E9	铩
uni94EA	U+94EA	铪
uni94EB	U+94EB	铫
uni94EC	U+94EC	铬
uni94ED	U+94ED	铭
uni94EE	U+94EE	铮
uni94EF	U+94EF	铯
uni94F0	U+94F0	铰
uni94F1	U+94F1	铱
uni94F2	U+94F2	铲
uni94F3	U+94F3	铳
uni94F4	U+94F4	铴
uni94F5	U+94F5	铵
uni94F6	U+94F6	银
uni94F7	U+94F7	铷
uni94F8	U+94F8	铸
uni94F9	U+94F9	铹
uni94FA	U+94FA	铺
uni94FB	U+94FB	铻
uni94FC	U+94FC	铼
uni94FD	U+94FD	铽
uni94FE	U+94FE	链
uni94FF	U+94FF	铿
uni9500	U+9500	销
uni9501	U+9501	锁
uni9502	U+9502	锂
uni9503	U+9503	锃
uni9504	U+9504	锄
uni9505	U+9505	锅
uni9506	U+9506	锆
uni9507	U+9507	锇
uni9508	U+9508	锈
uni9509	U+9509	锉
uni950A	U+950A	锊
uni950B	U+950B	锋
uni950C	U+950C	锌
