uni26B53	U+26B53	𦭓
uni26B5B	U+26B5B	𦭛
uni26B5C	U+26B5C	𦭜
uni26B75	U+26B75	𦭵
uni26B82	U+26B82	𦮂
uni26B96	U+26B96	𦮖
uni26B97	U+26B97	𦮗
uni26B9D	U+26B9D	𦮝
uni26BB3	U+26BB3	𦮳
uni26BC0	U+26BC0	𦯀
uni26BF7	U+26BF7	𦯷
uni26C21	U+26C21	𦰡
uni26C29	U+26C29	𦰩
uni26C40	U+26C40	𦱀
uni26C41	U+26C41	𦱁
uni26C46	U+26C46	𦱆
uni26C73	U+26C73	𦱳
uni26C7E	U+26C7E	𦱾
uni26C7F	U+26C7F	𦱿
uni26C80	U+26C80	𦲀
uni26C81	U+26C81	𦲁
uni26C82	U+26C82	𦲂
uni26C9E	U+26C9E	𦲞
uni26CA4	U+26CA4	𦲤
uni26CB7	U+26CB7	𦲷
uni26CB8	U+26CB8	𦲸
uni26CBD	U+26CBD	𦲽
uni26CC0	U+26CC0	𦳀
uni26CC3	U+26CC3	𦳃
uni26CD1	U+26CD1	𦳑
uni26CDD	U+26CDD	𦳝
uni26D22	U+26D22	𦴢
uni26D23	U+26D23	𦴣
uni26D24	U+26D24	𦴤
uni26D25	U+26D25	𦴥
uni26D26	U+26D26	𦴦
uni26D27	U+26D27	𦴧
uni26D28	U+26D28	𦴨
uni26D29	U+26D29	𦴩
uni26D2A	U+26D2A	𦴪
uni26D51	U+26D51	𦵑
uni26D74	U+26D74	𦵴
uni26DA0	U+26DA0	𦶠
uni26DA1	U+26DA1	𦶡
uni26DA2	U+26DA2	𦶢
uni26DA3	U+26DA3	𦶣
uni26DA4	U+26DA4	𦶤
uni26DA5	U+26DA5	𦶥
uni26DA6	U+26DA6	𦶦
uni26DA7	U+26DA7	𦶧
uni26DAE	U+26DAE	𦶮
uni26DDC	U+26DDC	𦷜
uni26DEA	U+26DEA	𦷪
uni26DEB	U+26DEB	𦷫
uni26DF0	U+26DF0	𦷰
uni26E00	U+26E00	𦸀
uni26E05	U+26E05	𦸅
uni26E07	U+26E07	𦸇
uni26E12	U+26E12	𦸒
uni26E40	U+26E40	𦹀
uni26E42	U+26E42	𦹂
uni26E43	U+26E43	𦹃
uni26E44	U+26E44	𦹄
uni26E45	U+26E45	𦹅
uni26E65	U+26E65	𦹥
uni26E6E	U+26E6E	𦹮
uni26E72	U+26E72	𦹲
uni26E77	U+26E77	𦹷
uni26E84	U+26E84	𦺄
uni26E88	U+26E88	𦺈
uni26E8B	U+26E8B	𦺋
uni26E99	U+26E99	𦺙
uni26ED0	U+26ED0	𦻐
uni26ED1	U+26ED1	𦻑
uni26ED2	U+26ED2	𦻒
uni26ED3	U+26ED3	𦻓
uni26ED4	U+26ED4	𦻔
uni26ED5	U+26ED5	𦻕
uni26ED6	U+26ED6	𦻖
uni26ED7	U+26ED7	𦻗
uni26F26	U+26F26	𦼦
uni26F73	U+26F73	𦽳
uni26F74	U+26F74	𦽴
uni26F94	U+26F94	𦾔
uni26F9F	U+26F9F	𦾟
uni26FA1	U+26FA1	𦾡
uni26FBE	U+26FBE	𦾾
uni26FDE	U+26FDE	𦿞
uni26FDF	U+26FDF	𦿟
uni26FF6	U+26FF6	𦿶
uni26FF7	U+26FF7	𦿷
uni26FF8	U+26FF8	𦿸
uni2700E	U+2700E	𧀎
uni2704B	U+2704B	𧁋
uni27052	U+27052	𧁒
uni27053	U+27053	𧁓
uni27088	U+27088	𧂈
uni270AD	U+270AD	𧂭
uni270AE	U+270AE	𧂮
uni270AF	U+270AF	𧂯
uni270CD	U+270CD	𧃍
uni270D2	U+270D2	𧃒
uni270F0	U+270F0	𧃰
uni270F4	U+270F4	𧃴
uni270F8	U+270F8	𧃸
uni27109	U+27109	𧄉
uni2710C	U+2710C	𧄌
uni2710D	U+2710D	𧄍
uni27126	U+27126	𧄦
uni27127	U+27127	𧄧
uni27139	U+27139	𧄹
uni27144	U+27144	𧅄
uni27164	U+27164	𧅤
uni27165	U+27165	𧅥
uni27175	U+27175	𧅵
uni271CD	U+271CD	𧇍
uni2721B	U+2721B	𧈛
uni27267	U+27267	𧉧
uni27280	U+27280	𧊀
uni27285	U+27285	𧊅
uni2728B	U+2728B	𧊋
uni272B2	U+272B2	𧊲
uni272B6	U+272B6	𧊶
uni272E6	U+272E6	𧋦
uni27352	U+27352	𧍒
uni2739A	U+2739A	𧎚
uni273DA	U+273DA	𧏚
uni273DB	U+273DB	𧏛
uni273FE	U+273FE	𧏾
uni273FF	U+273FF	𧏿
uni27410	U+27410	𧐐
uni27422	U+27422	𧐢
uni27449	U+27449	𧑉
uni27450	U+27450	𧑐
uni27484	U+27484	𧒄
uni27486	U+27486	𧒆
uni274BD	U+274BD	𧒽
uni27574	U+27574	𧕴
uni275A3	U+275A3	𧖣
uni275E0	U+275E0	𧗠
uni275E4	U+275E4	𧗤
uni275FD	U+275FD	𧗽
uni275FE	U+275FE	𧗾
uni275FF	U+275FF	𧗿
uni27607	U+27607	𧘇
uni2760C	U+2760C	𧘌
uni27614	U+27614	𧘔
uni27615	U+27615	𧘕
uni27625	U+27625	𧘥
uni27631	U+27631	𧘱
