uni4A9E	U+4A9E	䪞
uni4E1D	U+4E1D	丝
uni4E1E	U+4E1E	丞
uni4E1F	U+4E1F	丟
uni4E20	U+4E20	丠
uni4E21	U+4E21	両
uni4E22	U+4E22	丢
uni4E23	U+4E23	丣
uni4E24	U+4E24	两
uni4E25	U+4E25	严
uni4E26	U+4E26	並
uni4E27	U+4E27	丧
uni4E29	U+4E29	丩
uni4E2A	U+4E2A	个
uni4E2B	U+4E2B	丫
uni4E2D	U+4E2D	中
uni4E2E	U+4E2E	丮
uni4E2F	U+4E2F	丯
uni4E30	U+4E30	丰
uni4E31	U+4E31	丱
uni4E32	U+4E32	串
uni4E33	U+4E33	丳
uni4E34	U+4E34	临
uni4E35	U+4E35	丵
uni4E37	U+4E37	丷
uni4E38	U+4E38	丸
uni4E39	U+4E39	丹
uni4E3A	U+4E3A	为
uni4E3B	U+4E3B	主
uni4E3C	U+4E3C	丼
uni4E3D	U+4E3D	丽
uni4E3E	U+4E3E	举
uni4E40	U+4E40	乀
uni4E41	U+4E41	乁
uni4E42	U+4E42	乂
uni4E43	U+4E43	乃
uni4E44	U+4E44	乄
uni4E45	U+4E45	久
uni4E46	U+4E46	乆
uni4E47	U+4E47	乇
uni4E48	U+4E48	么
uni4E49	U+4E49	义
uni4E4A	U+4E4A	乊
uni4E4B	U+4E4B	之
uni4E4C	U+4E4C	乌
uni4E4D	U+4E4D	乍
uni4E4E	U+4E4E	乎
uni4E4F	U+4E4F	乏
uni4E50	U+4E50	乐
uni4E51	U+4E51	乑
uni4E52	U+4E52	乒
uni4E53	U+4E53	乓
uni4E54	U+4E54	乔
uni4E55	U+4E55	乕
uni4E56	U+4E56	乖
uni4E57	U+4E57	乗
uni4E58	U+4E58	乘
uni4E5C	U+4E5C	乜
uni4E5D	U+4E5D	九
uni4E5E	U+4E5E	乞
uni4E5F	U+4E5F	也
uni4E60	U+4E60	习
uni4E61	U+4E61	乡
uni4E62	U+4E62	乢
uni4E63	U+4E63	乣
uni4E64	U+4E64	乤
uni4E65	U+4E65	乥
uni4E66	U+4E66	书
uni4E67	U+4E67	乧
uni4E68	U+4E68	乨
uni4E69	U+4E69	乩
uni4E6A	U+4E6A	乪
uni4E6B	U+4E6B	乫
uni4E6C	U+4E6C	乬
uni4E6D	U+4E6D	乭
uni4E6E	U+4E6E	乮
uni4E6F	U+4E6F	乯
uni4E70	U+4E70	买
uni4E71	U+4E71	乱
uni4E72	U+4E72	乲
uni4E73	U+4E73	乳
uni4E74	U+4E74	乴
uni4E75	U+4E75	乵
uni4E76	U+4E76	乶
uni4E77	U+4E77	乷
uni4E78	U+4E78	乸
uni4E79	U+4E79	乹
uni4E7A	U+4E7A	乺
uni4E7B	U+4E7B	乻
uni4E7C	U+4E7C	乼
uni4E7D	U+4E7D	乽
uni4E7E	U+4E7E	乾
uni4E7F	U+4E7F	乿
uni4E81	U+4E81	亁
uni4E82	U+4E82	亂
uni4E83	U+4E83	亃
uni4E84	U+4E84	亄
uni4E86	U+4E86	了
uni4E87	U+4E87	亇
uni4E88	U+4E88	予
uni4E89	U+4E89	争
uni4E8A	U+4E8A	亊
uni4E8B	U+4E8B	事
uni4E8D	U+4E8D	亍
uni4E8E	U+4E8E	于
uni4E8F	U+4E8F	亏
uni4E90	U+4E90	亐
uni4E91	U+4E91	云
uni4E92	U+4E92	互
uni4E93	U+4E93	亓
uni4E94	U+4E94	五
uni4E95	U+4E95	井
