uni3A9C	U+3A9C	㪜
uni3CB4	U+3CB4	㲴
uni3CB5	U+3CB5	㲵
uni3CB6	U+3CB6	㲶
uni3CB7	U+3CB7	㲷
uni3CB8	U+3CB8	㲸
uni3CB9	U+3CB9	㲹
uni3CBA	U+3CBA	㲺
uni3CBB	U+3CBB	㲻
uni3CBC	U+3CBC	㲼
uni3CBD	U+3CBD	㲽
uni3CBE	U+3CBE	㲾
uni3CBF	U+3CBF	㲿
uni3CC0	U+3CC0	㳀
uni3CC1	U+3CC1	㳁
uni3CC2	U+3CC2	㳂
uni3CC3	U+3CC3	㳃
uni3CC4	U+3CC4	㳄
uni3CC5	U+3CC5	㳅
uni3CC6	U+3CC6	㳆
uni3CC7	U+3CC7	㳇
uni3CC8	U+3CC8	㳈
uni3CC9	U+3CC9	㳉
uni3CCA	U+3CCA	㳊
uni3CCB	U+3CCB	㳋
uni3CCC	U+3CCC	㳌
uni3CCD	U+3CCD	㳍
uni3CCE	U+3CCE	㳎
uni3CCF	U+3CCF	㳏
uni3CD0	U+3CD0	㳐
uni3CD1	U+3CD1	㳑
uni3CD2	U+3CD2	㳒
uni3CD3	U+3CD3	㳓
uni3CD4	U+3CD4	㳔
uni3CD5	U+3CD5	㳕
uni3CD6	U+3CD6	㳖
uni3CD7	U+3CD7	㳗
uni3CD8	U+3CD8	㳘
uni3CD9	U+3CD9	㳙
uni3CDA	U+3CDA	㳚
uni3CDB	U+3CDB	㳛
uni3CDC	U+3CDC	㳜
uni3CDD	U+3CDD	㳝
uni3CDE	U+3CDE	㳞
uni3CDF	U+3CDF	㳟
uni3CE0	U+3CE0	㳠
uni3CE1	U+3CE1	㳡
uni3CE2	U+3CE2	㳢
uni3CE3	U+3CE3	㳣
uni3CE4	U+3CE4	㳤
uni3CE5	U+3CE5	㳥
uni3CE6	U+3CE6	㳦
uni3CE7	U+3CE7	㳧
uni3CE8	U+3CE8	㳨
uni3CE9	U+3CE9	㳩
uni3CEA	U+3CEA	㳪
uni3CEB	U+3CEB	㳫
uni3CEC	U+3CEC	㳬
uni3CED	U+3CED	㳭
uni3CEE	U+3CEE	㳮
uni3CEF	U+3CEF	㳯
uni3CF0	U+3CF0	㳰
uni3CF1	U+3CF1	㳱
uni3CF2	U+3CF2	㳲
uni3CF3	U+3CF3	㳳
uni3CF4	U+3CF4	㳴
uni3CF5	U+3CF5	㳵
uni3CF6	U+3CF6	㳶
uni3CF7	U+3CF7	㳷
uni3CF8	U+3CF8	㳸
uni3CF9	U+3CF9	㳹
uni3CFA	U+3CFA	㳺
uni3CFB	U+3CFB	㳻
uni3CFC	U+3CFC	㳼
uni3CFD	U+3CFD	㳽
uni3CFE	U+3CFE	㳾
uni3CFF	U+3CFF	㳿
uni3D00	U+3D00	㴀
uni3D01	U+3D01	㴁
uni3D02	U+3D02	㴂
uni3D03	U+3D03	㴃
uni3D04	U+3D04	㴄
uni3D05	U+3D05	㴅
uni3D06	U+3D06	㴆
uni3D07	U+3D07	㴇
uni3D08	U+3D08	㴈
uni3D09	U+3D09	㴉
uni3D0A	U+3D0A	㴊
uni3D0B	U+3D0B	㴋
uni3D0C	U+3D0C	㴌
uni3D0D	U+3D0D	㴍
uni3D0E	U+3D0E	㴎
uni3D0F	U+3D0F	㴏
uni3D10	U+3D10	㴐
uni3D11	U+3D11	㴑
uni3D12	U+3D12	㴒
uni3D13	U+3D13	㴓
uni3D14	U+3D14	㴔
uni3D15	U+3D15	㴕
uni3D16	U+3D16	㴖
uni3D17	U+3D17	㴗
uni3D18	U+3D18	㴘
uni3D19	U+3D19	㴙
uni3D1A	U+3D1A	㴚
uni3D1B	U+3D1B	㴛
uni3D1C	U+3D1C	㴜
uni3D1D	U+3D1D	㴝
uni3D1E	U+3D1E	㴞
uni3D1F	U+3D1F	㴟
uni3D20	U+3D20	㴠
uni3D21	U+3D21	㴡
uni3D22	U+3D22	㴢
uni3D23	U+3D23	㴣
uni3D24	U+3D24	㴤
uni3D25	U+3D25	㴥
uni3D26	U+3D26	㴦
uni3D27	U+3D27	㴧
uni3D28	U+3D28	㴨
uni3D29	U+3D29	㴩
uni3D2A	U+3D2A	㴪
uni3D2B	U+3D2B	㴫
uni3D2C	U+3D2C	㴬
uni3D2D	U+3D2D	㴭
uni3D2E	U+3D2E	㴮
uni3D2F	U+3D2F	㴯
uni3D30	U+3D30	㴰
uni3D31	U+3D31	㴱
uni3D32	U+3D32	㴲
uni3D33	U+3D33	㴳
uni3D34	U+3D34	㴴
uni3D35	U+3D35	㴵
uni3D36	U+3D36	㴶
uni3D37	U+3D37	㴷
uni3D38	U+3D38	㴸
uni3D39	U+3D39	㴹
uni3D3A	U+3D3A	㴺
uni3D3B	U+3D3B	㴻
uni3D3C	U+3D3C	㴼
uni3D3D	U+3D3D	㴽
uni3D3E	U+3D3E	㴾
uni3D3F	U+3D3F	㴿
uni3D40	U+3D40	㵀
uni3D41	U+3D41	㵁
uni3D42	U+3D42	㵂
uni3D43	U+3D43	㵃
uni3D44	U+3D44	㵄
uni3D45	U+3D45	㵅
uni3D46	U+3D46	㵆
uni3D47	U+3D47	㵇
uni3D48	U+3D48	㵈
uni3D49	U+3D49	㵉
uni3D4A	U+3D4A	㵊
uni3D4B	U+3D4B	㵋
uni3D4C	U+3D4C	㵌
uni3D4D	U+3D4D	㵍
uni3D4E	U+3D4E	㵎
uni3D4F	U+3D4F	㵏
uni3D50	U+3D50	㵐
uni3D51	U+3D51	㵑
uni3D52	U+3D52	㵒
uni3D53	U+3D53	㵓
uni3D54	U+3D54	㵔
uni3D55	U+3D55	㵕
uni3D56	U+3D56	㵖
uni3D57	U+3D57	㵗
uni3D58	U+3D58	㵘
uni3D59	U+3D59	㵙
uni3D5A	U+3D5A	㵚
uni3D5B	U+3D5B	㵛
uni3D5C	U+3D5C	㵜
uni3D5D	U+3D5D	㵝
uni3D5E	U+3D5E	㵞
uni3D5F	U+3D5F	㵟
uni3D60	U+3D60	㵠
uni3D61	U+3D61	㵡
uni3D62	U+3D62	㵢
uni3D63	U+3D63	㵣
uni3D64	U+3D64	㵤
uni3D65	U+3D65	㵥
uni3D66	U+3D66	㵦
uni3D67	U+3D67	㵧
uni3D68	U+3D68	㵨
uni3D69	U+3D69	㵩
uni3D6A	U+3D6A	㵪
uni3D6B	U+3D6B	㵫
uni3D6C	U+3D6C	㵬
uni3D6D	U+3D6D	㵭
uni3D6E	U+3D6E	㵮
uni3D6F	U+3D6F	㵯
uni3D70	U+3D70	㵰
uni3D71	U+3D71	㵱
uni3D72	U+3D72	㵲
uni3D73	U+3D73	㵳
uni3D74	U+3D74	㵴
uni3D75	U+3D75	㵵
uni3D76	U+3D76	㵶
uni3D77	U+3D77	㵷
uni3D78	U+3D78	㵸
uni3D79	U+3D79	㵹
uni3D7A	U+3D7A	㵺
uni3D7B	U+3D7B	㵻
uni3D7C	U+3D7C	㵼
uni3D7D	U+3D7D	㵽
uni3D7E	U+3D7E	㵾
uni3D7F	U+3D7F	㵿
uni3D80	U+3D80	㶀
uni3D81	U+3D81	㶁
uni3D82	U+3D82	㶂
uni3D83	U+3D83	㶃
uni3D84	U+3D84	㶄
uni3D85	U+3D85	㶅
uni3D86	U+3D86	㶆
uni3D87	U+3D87	㶇
uni3D88	U+3D88	㶈
uni3D89	U+3D89	㶉
uni3D8A	U+3D8A	㶊
uni3D8B	U+3D8B	㶋
uni3D8C	U+3D8C	㶌
uni3D8D	U+3D8D	㶍
uni3D8E	U+3D8E	㶎
uni3D8F	U+3D8F	㶏
uni3D90	U+3D90	㶐
uni3D91	U+3D91	㶑
uni3D92	U+3D92	㶒
uni3D93	U+3D93	㶓
uni3D94	U+3D94	㶔
uni3D95	U+3D95	㶕
uni3D96	U+3D96	㶖
uni3D97	U+3D97	㶗
uni3D98	U+3D98	㶘
uni3D99	U+3D99	㶙
uni3D9A	U+3D9A	㶚
uni3D9B	U+3D9B	㶛
uni3D9C	U+3D9C	㶜
uni3D9D	U+3D9D	㶝
uni3D9E	U+3D9E	㶞
uni3D9F	U+3D9F	㶟
uni3DA0	U+3DA0	㶠
uni3DA1	U+3DA1	㶡
uni3DA2	U+3DA2	㶢
uni3DA3	U+3DA3	㶣
uni3DA4	U+3DA4	㶤
uni3DA5	U+3DA5	㶥
uni3DA6	U+3DA6	㶦
uni3DA7	U+3DA7	㶧
uni3DA8	U+3DA8	㶨
uni3DA9	U+3DA9	㶩
uni3DAA	U+3DAA	㶪
uni3DAB	U+3DAB	㶫
uni3DAC	U+3DAC	㶬
uni3DAD	U+3DAD	㶭
uni3DAE	U+3DAE	㶮
uni3DAF	U+3DAF	㶯
uni3DB0	U+3DB0	㶰
uni3DB1	U+3DB1	㶱
uni3DB2	U+3DB2	㶲
uni3DB3	U+3DB3	㶳
uni3DB4	U+3DB4	㶴
uni3DB5	U+3DB5	㶵
uni3DB6	U+3DB6	㶶
uni3DB7	U+3DB7	㶷
uni3DB8	U+3DB8	㶸
uni3DB9	U+3DB9	㶹
uni3DBA	U+3DBA	㶺
uni3DBB	U+3DBB	㶻
uni3DBC	U+3DBC	㶼
uni3DBD	U+3DBD	㶽
uni3DBE	U+3DBE	㶾
uni3DBF	U+3DBF	㶿
uni3DC0	U+3DC0	㷀
uni3DC1	U+3DC1	㷁
uni3DC2	U+3DC2	㷂
uni3DC3	U+3DC3	㷃
uni3DC4	U+3DC4	㷄
uni3DC5	U+3DC5	㷅
uni3DC6	U+3DC6	㷆
uni3DC7	U+3DC7	㷇
uni3DC8	U+3DC8	㷈
uni3DC9	U+3DC9	㷉
uni3DCA	U+3DCA	㷊
