uni8A8A	U+8A8A	誊
uni8A8B	U+8A8B	誋
uni8A8C	U+8A8C	誌
uni8A8D	U+8A8D	認
uni8A8E	U+8A8E	誎
uni8A8F	U+8A8F	誏
uni8A90	U+8A90	誐
uni8A91	U+8A91	誑
uni8A92	U+8A92	誒
uni8A93	U+8A93	誓
uni8A94	U+8A94	誔
uni8A95	U+8A95	誕
uni8A96	U+8A96	誖
uni8A97	U+8A97	誗
uni8A98	U+8A98	誘
uni8A99	U+8A99	誙
uni8A9A	U+8A9A	誚
uni8A9B	U+8A9B	誛
uni8A9C	U+8A9C	誜
uni8A9D	U+8A9D	誝
uni8A9E	U+8A9E	語
uni8A9F	U+8A9F	誟
uni8AA0	U+8AA0	誠
uni8AA1	U+8AA1	誡
uni8AA2	U+8AA2	誢
uni8AA3	U+8AA3	誣
uni8AA4	U+8AA4	誤
uni8AA5	U+8AA5	誥
uni8AA6	U+8AA6	誦
uni8AA7	U+8AA7	誧
uni8AA8	U+8AA8	誨
uni8AA9	U+8AA9	誩
uni8AAA	U+8AAA	說
uni8AAB	U+8AAB	誫
uni8AAC	U+8AAC	説
uni8AAD	U+8AAD	読
uni8AAE	U+8AAE	誮
uni8AAF	U+8AAF	誯
uni8AB0	U+8AB0	誰
uni8AB1	U+8AB1	誱
uni8AB2	U+8AB2	課
uni8AB3	U+8AB3	誳
uni8AB4	U+8AB4	誴
uni8AB5	U+8AB5	誵
uni8AB6	U+8AB6	誶
uni8AB7	U+8AB7	誷
uni8AB8	U+8AB8	誸
uni8AB9	U+8AB9	誹
uni8ABA	U+8ABA	誺
uni8ABB	U+8ABB	誻
uni8ABC	U+8ABC	誼
uni8ABD	U+8ABD	誽
uni8ABE	U+8ABE	誾
uni8ABF	U+8ABF	調
uni8AC0	U+8AC0	諀
uni8AC1	U+8AC1	諁
uni8AC2	U+8AC2	諂
uni8AC3	U+8AC3	諃
uni8AC4	U+8AC4	諄
uni8AC5	U+8AC5	諅
uni8AC6	U+8AC6	諆
uni8AC7	U+8AC7	談
uni8AC8	U+8AC8	諈
uni8AC9	U+8AC9	諉
uni8ACA	U+8ACA	諊
uni8ACB	U+8ACB	請
uni8ACC	U+8ACC	諌
uni8ACD	U+8ACD	諍
uni8ACE	U+8ACE	諎
uni8ACF	U+8ACF	諏
uni8AD0	U+8AD0	諐
uni8AD1	U+8AD1	諑
uni8AD2	U+8AD2	諒
uni8AD3	U+8AD3	諓
uni8AD4	U+8AD4	諔
uni8AD5	U+8AD5	諕
uni8AD6	U+8AD6	論
uni8AD7	U+8AD7	諗
uni8AD8	U+8AD8	諘
uni8AD9	U+8AD9	諙
uni8ADA	U+8ADA	諚
uni8ADB	U+8ADB	諛
uni8ADC	U+8ADC	諜
uni8ADD	U+8ADD	諝
uni8ADE	U+8ADE	諞
uni8ADF	U+8ADF	諟
uni8AE0	U+8AE0	諠
uni8AE1	U+8AE1	諡
uni8AE2	U+8AE2	諢
uni8AE3	U+8AE3	諣
uni8AE4	U+8AE4	諤
uni8AE5	U+8AE5	諥
uni8AE6	U+8AE6	諦
uni8AE7	U+8AE7	諧
uni8AE8	U+8AE8	諨
uni8AE9	U+8AE9	諩
uni8AEA	U+8AEA	諪
uni8AEB	U+8AEB	諫
uni8AEC	U+8AEC	諬
uni8AED	U+8AED	諭
uni8AEE	U+8AEE	諮
uni8AEF	U+8AEF	諯
uni8AF0	U+8AF0	諰
uni8AF1	U+8AF1	諱
uni8AF2	U+8AF2	諲
uni8AF3	U+8AF3	諳
uni8AF4	U+8AF4	諴
uni8AF5	U+8AF5	諵
uni8AF6	U+8AF6	諶
uni8AF7	U+8AF7	諷
uni8AF8	U+8AF8	諸
uni8AF9	U+8AF9	諹
uni8AFA	U+8AFA	諺
uni8AFB	U+8AFB	諻
uni8AFC	U+8AFC	諼
uni8AFD	U+8AFD	諽
uni8AFE	U+8AFE	諾
uni8AFF	U+8AFF	諿
