uni85FC	U+85FC	藼
uni85FD	U+85FD	藽
uni85FE	U+85FE	藾
uni85FF	U+85FF	藿
uni8600	U+8600	蘀
uni8601	U+8601	蘁
uni8602	U+8602	蘂
uni8603	U+8603	蘃
uni8604	U+8604	蘄
uni8605	U+8605	蘅
uni8606	U+8606	蘆
uni8607	U+8607	蘇
uni8608	U+8608	蘈
uni8609	U+8609	蘉
uni860A	U+860A	蘊
uni860B	U+860B	蘋
uni860C	U+860C	蘌
uni860D	U+860D	蘍
uni860E	U+860E	蘎
uni860F	U+860F	蘏
uni8610	U+8610	蘐
uni8611	U+8611	蘑
uni8612	U+8612	蘒
uni8613	U+8613	蘓
uni8614	U+8614	蘔
uni8615	U+8615	蘕
uni8616	U+8616	蘖
uni8617	U+8617	蘗
uni8618	U+8618	蘘
uni8619	U+8619	蘙
uni861A	U+861A	蘚
uni861B	U+861B	蘛
uni861C	U+861C	蘜
uni861D	U+861D	蘝
uni861E	U+861E	蘞
uni861F	U+861F	蘟
uni8620	U+8620	蘠
uni8621	U+8621	蘡
uni8622	U+8622	蘢
uni8623	U+8623	蘣
uni8624	U+8624	蘤
uni8625	U+8625	蘥
uni8626	U+8626	蘦
uni8627	U+8627	蘧
uni8628	U+8628	蘨
uni8629	U+8629	蘩
uni862A	U+862A	蘪
uni862B	U+862B	蘫
uni862C	U+862C	蘬
uni862D	U+862D	蘭
uni862E	U+862E	蘮
uni862F	U+862F	蘯
uni8630	U+8630	蘰
uni8631	U+8631	蘱
uni8632	U+8632	蘲
uni8633	U+8633	蘳
uni8634	U+8634	蘴
uni8635	U+8635	蘵
uni8636	U+8636	蘶
uni8637	U+8637	蘷
uni8638	U+8638	蘸
uni8639	U+8639	蘹
uni863A	U+863A	蘺
uni863B	U+863B	蘻
uni863C	U+863C	蘼
uni863D	U+863D	蘽
uni863E	U+863E	蘾
uni863F	U+863F	蘿
uni8640	U+8640	虀
uni8641	U+8641	虁
uni8642	U+8642	虂
uni8643	U+8643	虃
uni8644	U+8644	虄
uni8645	U+8645	虅
uni8646	U+8646	虆
uni8647	U+8647	虇
uni8648	U+8648	虈
uni8649	U+8649	虉
uni864A	U+864A	虊
uni864B	U+864B	虋
uni864C	U+864C	虌
uni864E	U+864E	虎
uni864F	U+864F	虏
uni8650	U+8650	虐
uni8651	U+8651	虑
uni8652	U+8652	虒
uni8653	U+8653	虓
uni8654	U+8654	虔
uni8655	U+8655	處
uni8656	U+8656	虖
uni8657	U+8657	虗
uni8658	U+8658	虘
uni8659	U+8659	虙
uni865A	U+865A	虚
uni865B	U+865B	虛
uni865C	U+865C	虜
uni865D	U+865D	虝
uni865E	U+865E	虞
uni865F	U+865F	號
uni8660	U+8660	虠
uni8661	U+8661	虡
uni8662	U+8662	虢
uni8663	U+8663	虣
uni8664	U+8664	虤
uni8665	U+8665	虥
uni8666	U+8666	虦
uni8667	U+8667	虧
uni8668	U+8668	虨
uni8669	U+8669	虩
uni866A	U+866A	虪
uni866C	U+866C	虬
uni866D	U+866D	虭
uni866E	U+866E	虮
uni866F	U+866F	虯
uni8670	U+8670	虰
uni8671	U+8671	虱
uni8672	U+8672	虲
uni8673	U+8673	虳
uni8674	U+8674	虴
uni8675	U+8675	虵
uni8676	U+8676	虶
uni8677	U+8677	虷
uni8678	U+8678	虸
uni8679	U+8679	虹
uni867A	U+867A	虺
uni867B	U+867B	虻
uni867C	U+867C	虼
uni867D	U+867D	虽
uni867E	U+867E	虾
uni867F	U+867F	虿
uni8680	U+8680	蚀
uni8681	U+8681	蚁
uni8682	U+8682	蚂
uni8683	U+8683	蚃
uni8684	U+8684	蚄
uni8685	U+8685	蚅
uni8686	U+8686	蚆
