uni393B	U+393B	㤻
uni393C	U+393C	㤼
uni393D	U+393D	㤽
uni393E	U+393E	㤾
uni393F	U+393F	㤿
uni3940	U+3940	㥀
uni3941	U+3941	㥁
uni3942	U+3942	㥂
uni3943	U+3943	㥃
uni3944	U+3944	㥄
uni3945	U+3945	㥅
uni3946	U+3946	㥆
uni3947	U+3947	㥇
uni3948	U+3948	㥈
uni3949	U+3949	㥉
uni394A	U+394A	㥊
uni394B	U+394B	㥋
uni394C	U+394C	㥌
uni394D	U+394D	㥍
uni394E	U+394E	㥎
uni394F	U+394F	㥏
uni3950	U+3950	㥐
uni3951	U+3951	㥑
uni3952	U+3952	㥒
uni3953	U+3953	㥓
uni3954	U+3954	㥔
uni3955	U+3955	㥕
uni3956	U+3956	㥖
uni3957	U+3957	㥗
uni3958	U+3958	㥘
uni3959	U+3959	㥙
uni395A	U+395A	㥚
uni395B	U+395B	㥛
uni395C	U+395C	㥜
uni395D	U+395D	㥝
uni395E	U+395E	㥞
uni395F	U+395F	㥟
uni3960	U+3960	㥠
uni3961	U+3961	㥡
uni3962	U+3962	㥢
uni3963	U+3963	㥣
uni3964	U+3964	㥤
uni3965	U+3965	㥥
uni3966	U+3966	㥦
uni3967	U+3967	㥧
uni3968	U+3968	㥨
uni3969	U+3969	㥩
uni396A	U+396A	㥪
uni396B	U+396B	㥫
uni396C	U+396C	㥬
uni396D	U+396D	㥭
uni396E	U+396E	㥮
uni396F	U+396F	㥯
uni3970	U+3970	㥰
uni3971	U+3971	㥱
uni3972	U+3972	㥲
uni3973	U+3973	㥳
uni3974	U+3974	㥴
uni3975	U+3975	㥵
uni3976	U+3976	㥶
uni3977	U+3977	㥷
uni3978	U+3978	㥸
uni3979	U+3979	㥹
uni397A	U+397A	㥺
uni397B	U+397B	㥻
uni397C	U+397C	㥼
uni397D	U+397D	㥽
uni397E	U+397E	㥾
uni397F	U+397F	㥿
uni3980	U+3980	㦀
uni3981	U+3981	㦁
uni3982	U+3982	㦂
uni3983	U+3983	㦃
uni3984	U+3984	㦄
uni3985	U+3985	㦅
uni3986	U+3986	㦆
uni3987	U+3987	㦇
uni3988	U+3988	㦈
uni3989	U+3989	㦉
uni398A	U+398A	㦊
uni398B	U+398B	㦋
uni398C	U+398C	㦌
uni398D	U+398D	㦍
uni398E	U+398E	㦎
uni398F	U+398F	㦏
uni3990	U+3990	㦐
uni3991	U+3991	㦑
uni3992	U+3992	㦒
uni3993	U+3993	㦓
uni3994	U+3994	㦔
uni3995	U+3995	㦕
uni3996	U+3996	㦖
uni3997	U+3997	㦗
uni3998	U+3998	㦘
uni3999	U+3999	㦙
uni399A	U+399A	㦚
uni399B	U+399B	㦛
uni399C	U+399C	㦜
uni399D	U+399D	㦝
uni399E	U+399E	㦞
