uni9A92	U+9A92	骒
uni9A93	U+9A93	骓
uni9A94	U+9A94	骔
uni9A95	U+9A95	骕
uni9A96	U+9A96	骖
uni9A97	U+9A97	骗
uni9A98	U+9A98	骘
uni9A99	U+9A99	骙
uni9A9A	U+9A9A	骚
uni9A9B	U+9A9B	骛
uni9A9C	U+9A9C	骜
uni9A9D	U+9A9D	骝
uni9A9E	U+9A9E	骞
uni9A9F	U+9A9F	骟
uni9AA0	U+9AA0	骠
uni9AA1	U+9AA1	骡
uni9AA2	U+9AA2	骢
uni9AA3	U+9AA3	骣
uni9AA4	U+9AA4	骤
uni9AA5	U+9AA5	骥
uni9AA6	U+9AA6	骦
uni9AA7	U+9AA7	骧
uni9AA9	U+9AA9	骩
uni9AAA	U+9AAA	骪
uni9AAB	U+9AAB	骫
uni9AAC	U+9AAC	骬
uni9AAD	U+9AAD	骭
uni9AAE	U+9AAE	骮
uni9AAF	U+9AAF	骯
uni9AB0	U+9AB0	骰
uni9AB1	U+9AB1	骱
uni9AB2	U+9AB2	骲
uni9AB3	U+9AB3	骳
uni9AB4	U+9AB4	骴
uni9AB5	U+9AB5	骵
uni9AB6	U+9AB6	骶
uni9AB7	U+9AB7	骷
uni9AB8	U+9AB8	骸
uni9AB9	U+9AB9	骹
uni9ABA	U+9ABA	骺
uni9ABB	U+9ABB	骻
uni9ABC	U+9ABC	骼
uni9ABD	U+9ABD	骽
uni9ABE	U+9ABE	骾
uni9ABF	U+9ABF	骿
uni9AC0	U+9AC0	髀
uni9AC1	U+9AC1	髁
uni9AC2	U+9AC2	髂
uni9AC3	U+9AC3	髃
uni9AC4	U+9AC4	髄
uni9AC5	U+9AC5	髅
uni9AC6	U+9AC6	髆
uni9AC7	U+9AC7	髇
uni9AC8	U+9AC8	髈
uni9AC9	U+9AC9	髉
uni9ACA	U+9ACA	髊
uni9ACB	U+9ACB	髋
uni9ACC	U+9ACC	髌
uni9ACD	U+9ACD	髍
uni9ACE	U+9ACE	髎
uni9ACF	U+9ACF	髏
uni9AD0	U+9AD0	髐
uni9AD1	U+9AD1	髑
uni9AD2	U+9AD2	髒
uni9AD3	U+9AD3	髓
uni9AD4	U+9AD4	體
uni9AD5	U+9AD5	髕
uni9AD6	U+9AD6	髖
uni9AD7	U+9AD7	髗
uni9AD9	U+9AD9	髙
uni9ADA	U+9ADA	髚
uni9ADB	U+9ADB	髛
uni9ADC	U+9ADC	髜
uni9ADD	U+9ADD	髝
uni9ADE	U+9ADE	髞
uni9AE0	U+9AE0	髠
uni9AE1	U+9AE1	髡
uni9AE2	U+9AE2	髢
uni9AE3	U+9AE3	髣
uni9AE4	U+9AE4	髤
uni9AE5	U+9AE5	髥
uni9AE6	U+9AE6	髦
uni9AE7	U+9AE7	髧
uni9AE8	U+9AE8	髨
uni9AE9	U+9AE9	髩
uni9AEA	U+9AEA	髪
uni9AEB	U+9AEB	髫
uni9AEC	U+9AEC	髬
uni9AED	U+9AED	髭
uni9AEE	U+9AEE	髮
uni9AEF	U+9AEF	髯
uni9AF0	U+9AF0	髰
uni9AF1	U+9AF1	髱
uni9AF2	U+9AF2	髲
uni9AF3	U+9AF3	髳
uni9AF4	U+9AF4	髴
uni9AF5	U+9AF5	髵
uni9AF6	U+9AF6	髶
uni9AF7	U+9AF7	髷
uni9AF8	U+9AF8	髸
uni9AF9	U+9AF9	髹
uni9AFA	U+9AFA	髺
uni9AFB	U+9AFB	髻
uni9AFC	U+9AFC	髼
uni9AFD	U+9AFD	髽
uni9AFE	U+9AFE	髾
uni9AFF	U+9AFF	髿
uni9B00	U+9B00	鬀
uni9B01	U+9B01	鬁
uni9B02	U+9B02	鬂
uni9B03	U+9B03	鬃
uni9B04	U+9B04	鬄
uni9B05	U+9B05	鬅
uni9B06	U+9B06	鬆
uni9B07	U+9B07	鬇
uni9B08	U+9B08	鬈
uni9B09	U+9B09	鬉
uni9B0A	U+9B0A	鬊
uni9B0B	U+9B0B	鬋
uni9B0C	U+9B0C	鬌
uni9B0D	U+9B0D	鬍
uni9B0E	U+9B0E	鬎
uni9B0F	U+9B0F	鬏
uni9B10	U+9B10	鬐
uni9B11	U+9B11	鬑
uni9B12	U+9B12	鬒
uni9B13	U+9B13	鬓
uni9B14	U+9B14	鬔
uni9B15	U+9B15	鬕
uni9B16	U+9B16	鬖
uni9B17	U+9B17	鬗
uni9B18	U+9B18	鬘
uni9B19	U+9B19	鬙
uni9B1A	U+9B1A	鬚
uni9B1B	U+9B1B	鬛
uni9B1C	U+9B1C	鬜
uni9B1D	U+9B1D	鬝
uni9B1E	U+9B1E	鬞
uni9B1F	U+9B1F	鬟
uni9B20	U+9B20	鬠
uni9B21	U+9B21	鬡
uni9B22	U+9B22	鬢
uni9B23	U+9B23	鬣
uni9B24	U+9B24	鬤
uni9B26	U+9B26	鬦
uni9B27	U+9B27	鬧
uni9B28	U+9B28	鬨
uni9B29	U+9B29	鬩
uni9B2A	U+9B2A	鬪
uni9B2B	U+9B2B	鬫
uni9B2C	U+9B2C	鬬
uni9B2D	U+9B2D	鬭
uni9B2E	U+9B2E	鬮
uni9B30	U+9B30	鬰
uni9B31	U+9B31	鬱
uni9B33	U+9B33	鬳
uni9B34	U+9B34	鬴
uni9B35	U+9B35	鬵
uni9B36	U+9B36	鬶
uni9B37	U+9B37	鬷
uni9B38	U+9B38	鬸
uni9B39	U+9B39	鬹
uni9B3A	U+9B3A	鬺
