U+54A4	咤
U+54DD	哝
U+54CF	哏
U+54DE	哞
U+5CD9	峙
U+5CE3	峣
U+7F58	罘
U+5E27	帧
U+5CD2	峒
U+5CE4	峤
U+5CCB	峋
U+5CE5	峥
U+8D36	贶
U+949A	钚
U+949B	钛
U+94A1	钡
U+94A3	钣
U+94A4	钤
U+94A8	钨
U+94AB	钫
U+94AF	钯
U+6C21	氡
U+6C1F	氟
U+726F	牯
U+90DC	郜
U+79D5	秕
U+79ED	秭
U+7AFD	竽
U+7B08	笈
U+7B03	笃
U+4FE6	俦
U+4FE8	俨
U+4FC5	俅
U+4FEA	俪
U+53DF	叟
U+57A1	垡
U+726E	牮
U+4FE3	俣
U+4FDA	俚
U+7688	皈
U+4FD1	俑
U+4FDF	俟
U+9005	逅
U+5F87	徇
U+5F89	徉
U+8222	舢
U+4FDE	俞
U+90D7	郗
U+4FCE	俎
U+90E4	郤
U+7230	爰
U+90DB	郛
U+74F4	瓴
U+80E8	胨
U+80EA	胪
U+80DB	胛
U+80C2	胂
U+80D9	胙
U+80CD	胍
U+80D7	胗
U+80DD	胝
U+6710	朐
U+80EB	胫
U+9E28	鸨
U+530D	匍
U+72E8	狨
U+72EF	狯
U+98D1	飑
U+72E9	狩
U+72F2	狲
U+8A07	訇
U+9004	逄
U+661D	昝
U+9977	饷
U+9978	饸
U+9979	饹
U+80E4	胤
U+5B6A	孪
U+5A08	娈
U+5F08	弈
U+5955	奕
U+5EA5	庥
U+75AC	疬
U+75A3	疣
U+75A5	疥
U+75AD	疭
U+5EA0	庠
U+7AD1	竑
U+5F66	彦
U+98D2	飒
U+95FC	闼
U+95FE	闾
U+95FF	闿
U+9602	阂
U+7F91	羑
U+8FF8	迸
U+7C7C	籼
U+914B	酋
U+70B3	炳
U+70BB	炻
U+70BD	炽
U+70AF	炯
U+70C0	烀
U+70B7	炷
U+70C3	烃
U+6D31	洱
U+6D39	洹
U+6D27	洧
U+6D0C	洌
U+6D43	浃
U+6D07	洇
U+6D04	洄
U+6D19	洙
U+6D8E	涎
U+6D0E	洎
U+6D2B	洫
U+6D4D	浍
U+6D2E	洮
U+6D35	洵
U+6D52	浒
U+6D54	浔
U+6D55	浕
U+6D33	洳
U+6078	恸
U+6053	恓
U+6079	恹
U+606B	恫
U+607A	恺
U+607B	恻
U+6042	恂
U+606A	恪
U+607D	恽
U+5BA5	宥
U+6243	扃
U+8872	衲
U+887D	衽
U+887F	衿
U+8882	袂
U+795B	祛
U+795C	祜
U+7953	祓
U+795A	祚
U+8BEE	诮
U+7957	祗
U+7962	祢
U+8BF0	诰
U+8BF3	诳
U+9E29	鸩
U+6636	昶
U+90E1	郡
U+54AB	咫
U+5F2D	弭
U+7241	牁
U+80E5	胥
U+965B	陛
U+965F	陟
U+5A05	娅
U+59EE	姮
U+5A06	娆
U+59DD	姝
U+59E3	姣
U+59D8	姘
U+59F9	姹
U+603C	怼
U+7FBF	羿
U+70B1	炱
U+77DC	矜
U+7ED4	绔
U+9A81	骁
U+9A85	骅
U+7ED7	绗
U+7EDB	绛
U+9A88	骈
U+8016	耖
U+6308	挈
U+73E5	珥
U+73D9	珙
U+987C	顼
U+73F0	珰
U+73E9	珩
U+73E7	珧
U+73E3	珣
U+73DE	珞
U+7424	琤
U+73F2	珲
U+6556	敖
U+605A	恚
U+57D4	埔
U+57D5	埕
U+57D8	埘
U+57D9	埙
U+57DA	埚
U+6339	挹
U+8006	耆
U+8004	耄
U+57D2	埒
U+634B	捋
U+8D3D	贽
U+57B8	垸
U+6343	捃
U+76CD	盍
U+8378	荸
U+8386	莆
U+83B3	莳
U+83B4	莴
U+83AA	莪
U+83A0	莠
U+8393	莓
U+839C	莜
U+8385	莅
U+837C	荼
U+83A9	莩
U+837D	荽
U+83B8	莸
U+837B	荻
U+8398	莘
U+838E	莎
U+839E	莞
U+83A8	莨
U+9E2A	鸪
U+83BC	莼
U+6832	栲
U+6833	栳
U+90F4	郴
U+6853	桓
U+6861	桡
U+684E	桎
U+6862	桢
U+6864	桤
U+6883	梃
U+681D	栝
U+6855	桕
U+6841	桁
U+6867	桧
U+6845	桅
U+681F	栟
U+6849	桉
U+6829	栩
U+9011	逑
U+900B	逋
U+5F67	彧
U+9B32	鬲
U+8C47	豇
U+9150	酐
U+9026	逦
U+539D	厝
U+5B6C	孬
U+781D	砝
U+7839	砹
U+783A	砺
U+7827	砧
U+7837	砷
U+781F	砟
U+783C	砼
U+7825	砥
U+7823	砣
U+525E	剞
U+783B	砻
U+8F7C	轼
U+8F7E	轾
U+8F82	辂
U+9E2B	鸫
U+8DB8	趸
U+9F80	龀
U+9E2C	鸬
U+8654	虔
U+900D	逍
U+772C	眬
U+551B	唛
U+665F	晟
U+7729	眩
U+7719	眙
U+54E7	哧
U+54FD	哽
U+5514	唔
U+6641	晁
U+664F	晏
U+9E2E	鸮
U+8DB5	趵
U+8DBF	趿
U+755B	畛
U+86A8	蚨
U+869C	蚜
U+868D	蚍
U+868B	蚋
U+86AC	蚬
U+869D	蚝
U+86A7	蚧
U+5522	唢
U+5704	圄
U+5523	唣
U+550F	唏
U+76CE	盎
U+5511	唑
U+5D02	崂
U+5D03	崃
U+7F61	罡
U+7F5F	罟
U+5CEA	峪
U+89CA	觊
U+8D45	赅
U+94B0	钰
U+94B2	钲
U+94B4	钴
U+94B5	钵
U+94B9	钹
U+94BA	钺
U+94BD	钽
U+94BC	钼
U+94BF	钿
U+94C0	铀
U+94C2	铂
U+94C4	铄
U+94C6	铆
U+94C8	铈
U+94C9	铉
U+94CA	铊
U+94CB	铋
U+94CC	铌
U+94CD	铍
U+497D	䥽
U+94CE	铎
U+6C29	氩
U+6C24	氤
U+6C26	氦
U+6BEA	毪
U+8210	舐
U+79E3	秣
U+79EB	秫
U+76C9	盉
U+7B04	笄
U+7B15	笕
U+7B0A	笊
U+7B0F	笏
U+7B06	笆
U+4FF8	俸
U+5029	倩
U+4FF5	俵
U+504C	偌
U+4FF3	俳
U+4FF6	俶
U+502C	倬
U+500F	倏
U+6041	恁
U+502D	倭
U+502A	倪
U+4FFE	俾
U+501C	倜
U+96BC	隼
U+96BD	隽
U+500C	倌
U+5025	倥
U+81EC	臬
U+768B	皋
U+90EB	郫
U+5028	倨
U+8844	衄
U+9880	颀
U+5F95	徕
U+822B	舫
U+91DC	釜
U+595A	奚
U+887E	衾
U+80EF	胯
U+80F1	胱
U+80F4	胴
U+80ED	胭
U+810D	脍
U+80FC	胼
U+6715	朕
U+8112	脒
U+80FA	胺
U+9E31	鸱
U+73BA	玺
U+9E32	鸲
U+72F7	狷
U+7301	猁
U+72F3	狳
U+7303	猃
U+72FA	狺
U+9016	逖
U+6840	桀
U+8885	袅
U+997D	饽
U+51C7	凇
U+683E	栾
U+631B	挛
U+4EB3	亳
U+75B3	疳
U+75B4	疴
U+75B8	疸
U+75BD	疽
U+75C8	痈
U+75B1	疱
U+75C2	痂
U+75C9	痉
U+886E	衮
U+51CB	凋
U+9883	颃
U+6063	恣
U+65C6	旆
U+65C4	旄
U+65C3	旃
U+9603	阃
U+9604	阄
U+8A1A	訚
U+9606	阆
U+6059	恙
U+7C91	粑
U+6714	朔
U+90F8	郸
U+70DC	烜
U+70E8	烨
U+70E9	烩
U+70CA	烊
U+5261	剡
U+90EF	郯
U+70EC	烬
U+6D91	涑
U+6D6F	浯
U+6D9E	涞
U+6D9F	涟
U+5A11	娑
U+6D85	涅
U+6DA0	涠
U+6D5E	浞
U+6D93	涓
U+6D65	浥
U+6D94	涔
U+6D5C	浜
U+6D60	浠
U+6D63	浣
U+6D5A	浚
U+609A	悚
U+60AD	悭
U+609D	悝
U+6092	悒
U+608C	悌
U+609B	悛
U+5BB8	宸
U+7A88	窈
U+525C	剜
U+8BF9	诹
U+51A2	冢
U+8BFC	诼
U+8892	袒
U+88A2	袢
U+796F	祯
U+8BFF	诿
U+8C00	谀
U+8C02	谂
U+8C04	谄
U+8C07	谇
U+5C50	屐
U+5C59	屙
U+966C	陬
U+52D0	勐
U+5958	奘
U+7242	牂
U+86A9	蚩
U+9672	陲
U+59EC	姬
U+5A20	娠
U+5A0C	娌
U+5A09	娉
U+5A32	娲
U+5A29	娩
U+5A34	娴
U+5A23	娣
U+5A13	娓
U+5A40	婀
U+755A	畚
U+9021	逡
U+7EE0	绠
U+9A8A	骊
U+7EE1	绡
U+9A8B	骋
U+7EE5	绥
U+7EE6	绦
U+7EE8	绨
U+9A8E	骎
U+9095	邕
U+9E36	鸶
U+5F57	彗
U+801C	耜
U+7118	焘
U+8202	舂
U+740F	琏
U+7407	琇
U+9EB8	麸
U+63F6	揶
U+57F4	埴
U+57EF	埯
U+636F	捯
U+63B3	掳
U+63B4	掴
U+57F8	埸
U+57F5	埵
U+8D67	赧
U+57E4	埤
U+636D	捭
U+9035	逵
U+57DD	埝
U+580B	堋
U+580D	堍
U+63AC	掬
U+9E37	鸷
U+6396	掖
U+637D	捽
U+638A	掊
U+5809	堉
U+63B8	掸
U+6369	捩
U+63AE	掮
U+60AB	悫
U+57ED	埭
U+57FD	埽
U+6387	掇
U+63BC	掼
U+8043	聃
U+83C1	菁
U+8401	萁
U+83D8	菘
U+5807	堇
U+8418	萘
U+840B	萋
U+83FD	菽
U+83D6	菖
U+841C	萜
U+8438	萸
U+8411	萑
U+68FB	棻
U+83D4	菔
U+83DF	菟
U+840F	萏
U+8403	萃
U+83CF	菏
U+83F9	菹
U+83EA	菪
U+83C5	菅
U+83C0	菀
U+8426	萦
U+83F0	菰
U+83E1	菡
U+68B5	梵
U+68BF	梿
U+688F	梏
U+89CB	觋
U+6874	桴
U+6877	桷
U+6893	梓
U+68C1	棁
U+686B	桫
U+68C2	棂
U+556C	啬
U+90FE	郾
U+532E	匮
U+6555	敕
U+8C49	豉
U+9104	鄄
U+915E	酞
U+915A	酚
U+621B	戛
U+784E	硎
U+786D	硭
U+7852	硒
U+7856	硖
U+7857	硗
U+7850	硐
U+7847	硇
U+784C	硌
U+9E38	鸸
U+74E0	瓠
U+530F	匏
U+53A9	厩
U+9F9A	龚
U+6B92	殒
U+6B93	殓
U+6B8D	殍
U+8D49	赉
U+96E9	雩
U+8F84	辄
U+5811	堑
U+772D	眭
U+7726	眦
U+5567	啧
U+6661	晡
U+6664	晤
U+773A	眺
U+7735	眵
U+7738	眸
U+570A	圊
U+558F	喏
U+55B5	喵
U+5549	啉
U+52D6	勖
U+665E	晞
U+5535	唵
U+6657	晗
U+5195	冕
U+556D	啭
U+7566	畦
U+8DBA	趺
U+556E	啮
U+8DC4	跄
U+86B6	蚶
U+86C4	蛄
U+86CE	蛎
U+86C6	蛆
U+86B0	蚰
U+86CA	蛊
U+5709	圉
U+86B1	蚱
U+86C9	蛉
U+86CF	蛏
U+86B4	蚴
U+5541	啁
U+5555	啕
U+553F	唿
U+5550	啐
U+553C	唼
U+5537	唷
U+5556	啖
U+5575	啵
U+5576	啶
U+5577	啷
U+5533	唳
U+5530	唰
U+555C	啜
U+5E3B	帻
U+5D1A	崚
U+5D26	崦
U+5E3C	帼
U+5D2E	崮
U+5D24	崤
U+5D06	崆
U+8D47	赇
U+8D48	赈
U+8D4A	赊
U+94D1	铑
U+94D2	铒
U+94D7	铗
U+94D9	铙
U+94DF	铟
U+94E0	铠
U+94E1	铡
U+94E2	铢
U+94E3	铣
U+94E4	铤
U+94E7	铧
U+94E8	铨
U+94E9	铩
U+94EA	铪
U+94EB	铫
U+94EC	铬
U+94EE	铮
U+94EF	铯
U+94F0	铰
U+94F1	铱
U+94F3	铳
U+94F5	铵
U+94F7	铷
U+6C2A	氪
U+727E	牾
U+9E39	鸹
U+79FE	秾
U+9036	逶
U+7B3A	笺
U+7B47	筇
U+7B38	笸
U+7B2A	笪
U+7B2E	笮
U+7B20	笠
U+7B25	笥
U+7B24	笤
U+7B33	笳
U+7B3E	笾
U+7B1E	笞
U+507E	偾
U+5043	偃
U+5055	偕
U+5048	偈
U+5080	傀
U+506C	偬
U+507B	偻
U+7691	皑
U+768E	皎
U+9E3B	鸻
U+5F9C	徜
U+8238	舸
U+823B	舻
U+8234	舴
U+8237	舷
U+9F9B	龛
U+7FCE	翎
U+812C	脬
U+8118	脘
U+8132	脲
U+5310	匐
U+7317	猗
U+7321	猡
U+731E	猞
U+731D	猝
U+659B	斛
U+7315	猕
U+9997	馗
U+9983	馃
U+9984	馄
U+9E3E	鸾
U+5B70	孰
U+5EB9	庹
U+5EBE	庾
U+75D4	痔
U+75CD	痍
U+75B5	疵
U+7FCA	翊
U+65CC	旌
U+65CE	旎
U+88A4	袤
U+9607	阇
U+9608	阈
U+9609	阉
U+960A	阊
U+960B	阋
U+960D	阍
U+960F	阏
U+7F9F	羟
U+7C9D	粝
U+7C95	粕
U+655D	敝
U+7110	焐
U+70EF	烯
U+7113	焓
U+70FD	烽
U+7116	焖
U+70F7	烷
U+7117	焗
U+6E0D	渍
U+6E1A	渚
U+6DC7	淇
U+6DC5	淅
