U+21376	𡍶
U+2138E	𡎎
U+21398	𡎘
U+2139C	𡎜
U+213C4	𡏄
U+213C5	𡏅
U+213C6	𡏆
U+213ED	𡏭
U+213FE	𡏾
U+21416	𡐖
U+21424	𡐤
U+2143F	𡐿
U+21452	𡑒
U+21454	𡑔
U+21455	𡑕
U+2146D	𡑭
U+2146E	𡑮
U+2148A	𡒊
U+21497	𡒗
U+214B6	𡒶
U+214E8	𡓨
U+214FD	𡓽
U+21577	𡕷
U+21582	𡖂
U+21594	𡖔
U+21596	𡖖
U+2160A	𡘊
U+21613	𡘓
U+21619	𡘙
U+2163E	𡘾
U+21647	𡙇
U+21661	𡙡
U+21692	𡚒
U+216B4	𡚴
U+216B8	𡚸
U+216BA	𡚺
U+216C0	𡛀
U+216C1	𡛁
U+216C2	𡛂
U+216D3	𡛓
U+216D5	𡛕
U+216DF	𡛟
U+216E6	𡛦
U+216E7	𡛧
U+216E8	𡛨
U+216FA	𡛺
U+216FB	𡛻
U+216FC	𡛼
U+216FE	𡛾
U+21706	𡜆
U+2170D	𡜍
U+21710	𡜐
U+21726	𡜦
U+21727	𡜧
U+2173A	𡜺
U+2173B	𡜻
U+2173C	𡜼
U+21742	𡝂
U+21757	𡝗
U+2176C	𡝬
U+2176D	𡝭
U+2176E	𡝮
U+2176F	𡝯
U+21770	𡝰
U+21771	𡝱
U+21773	𡝳
U+21774	𡝴
U+217AB	𡞫
U+217B0	𡞰
U+217B1	𡞱
U+217B2	𡞲
U+217B3	𡞳
U+217B4	𡞴
U+217B5	𡞵
U+217C3	𡟃
U+217C7	𡟇
U+217D9	𡟙
U+217DA	𡟚
U+217DB	𡟛
U+217DC	𡟜
U+217DF	𡟟
U+217EF	𡟯
U+217F5	𡟵
U+217F6	𡟶
U+217F8	𡟸
U+217F9	𡟹
U+217FA	𡟺
U+217FB	𡟻
U+217FC	𡟼
U+21820	𡠠
U+21828	𡠨
U+21829	𡠩
U+2182A	𡠪
U+2182D	𡠭
U+21839	𡠹
U+2183A	𡠺
U+2183B	𡠻
U+21840	𡡀
U+21845	𡡅
U+21852	𡡒
U+2185E	𡡞
U+21861	𡡡
U+21862	𡡢
U+21863	𡡣
U+21864	𡡤
U+21877	𡡷
U+2187B	𡡻
U+21883	𡢃
U+21884	𡢄
U+21885	𡢅
U+2189E	𡢞
U+2189F	𡢟
U+218A0	𡢠
U+218A1	𡢡
U+218A2	𡢢
U+218BD	𡢽
